CustomerID,Age,Gender,PurchaseAmount,PurchaseFrequency,WebsiteVisits,TimeOnSite,BounceRate,State,Date
31,66,Male,773,8,12,17.68,64.83,Kogi,2024-02-28
32,44,Male,2990,11,8,11.6,51.11,Kaduna,2024-06-18
33,59,Male,1139,3,24,19.24,44.55,Ekiti,2024-07-06
34,45,Male,4628,6,16,1.93,96.7,Kogi,2024-09-27
35,33,Male,985,9,4,2.86,57.12,Abia,2024-07-08
36,32,Female,2345,1,38,1.84,86.34,Kano,2024-06-23
37,64,Male,205,1,44,4.52,13.95,Ondo,2024-02-20
38,68,Female,1120,8,27,11.28,56.92,Enugu,2024-12-29
39,61,Male,2008,3,9,13.27,86.8,Enugu,2024-02-24
40,69,Female,2551,5,47,1.87,58.31,Oyo,2024-08-31
41,20,Male,4269,1,16,18.97,71.8,Kano,2024-11-15
42,54,Male,3880,5,12,17.0,37.2,Ekiti,2024-05-10
43,68,Female,904,11,31,6.64,9.24,Enugu,2024-11-02
44,24,Female,689,6,24,2.47,45.79,Kaduna,2024-05-14
45,38,Female,2288,8,14,4.23,39.45,Cross River,2024-01-21
46,26,Male,1652,3,45,3.41,86.71,Edo,2024-11-24
47,56,Male,491,3,25,3.34,24.4,Anambra,2024-06-15
48,35,Female,4678,11,34,10.85,96.67,Imo,2024-09-30
49,21,Female,1386,11,3,5.67,95.81,Lagos,2024-03-29
50,42,Female,3750,10,24,7.8,24.76,Ogun,2024-11-11
51,31,Female,998,9,42,19.8,34.81,Anambra,2024-01-14
52,67,Male,3423,4,9,14.0,89.56,Borno,2024-08-29
53,26,Female,509,4,26,19.03,96.66,Benue,2024-09-21
54,43,Male,4696,7,20,3.71,44.34,Osun,2024-12-11
55,19,Male,442,2,40,8.26,32.1,Ogun,2024-02-22
56,37,Male,3988,8,10,11.54,52.61,Osun,2024-12-05
57,45,Female,1837,6,19,2.46,68.78,Edo,2024-04-01
58,64,Male,4990,3,3,1.08,27.35,Borno,2024-09-20
59,24,Male,2307,9,24,13.74,73.65,Anambra,2024-02-04
60,61,Female,1188,5,5,13.19,5.17,Cross River,2024-07-24
61,25,Male,3858,8,3,8.8,4.93,Imo,2024-03-21
62,64,Female,4791,7,27,10.3,38.63,Osun,2024-02-19
63,52,Male,2504,8,16,8.89,35.35,Anambra,2024-12-25
64,31,Male,1516,7,49,1.46,31.56,Osun,2024-01-02
65,34,Female,3724,3,15,7.37,49.1,Abia,2024-02-23
66,53,Male,1427,2,35,4.36,32.07,Edo,2024-04-15
67,67,Male,2647,7,12,2.87,19.23,Oyo,2024-09-16
68,57,Male,191,3,41,19.18,30.95,Oyo,2024-11-05
69,21,Male,2709,3,44,12.39,97.49,Delta,2024-07-09
70,19,Female,4646,2,26,14.84,41.11,Rivers,2024-08-05
71,23,Male,889,4,47,6.99,44.47,Benue,2024-02-13
72,59,Female,3668,8,34,8.47,57.65,Benue,2024-06-10
73,21,Male,3967,1,23,5.5,98.33,Anambra,2024-07-20
74,46,Female,645,1,31,2.84,24.16,Ondo,2024-09-26
75,35,Female,1954,5,20,4.4,68.13,Delta,2024-12-16
76,43,Female,330,11,12,16.15,71.6,Enugu,2024-10-30
77,61,Male,473,5,23,13.87,60.73,Borno,2024-09-27
78,51,Male,4415,11,4,11.39,8.86,Osun,2024-08-02
79,27,Male,4299,1,23,10.03,67.69,Benue,2024-09-08
80,53,Female,1800,6,48,18.53,6.41,Enugu,2024-07-08
81,31,Female,4807,1,48,2.38,59.61,Cross River,2024-10-22
82,48,Female,2017,5,1,6.33,73.96,Ondo,2024-07-31
83,65,Male,4138,9,25,7.65,21.1,Oyo,2024-07-26
84,32,Female,4228,5,2,15.87,84.16,Benue,2024-08-24
85,25,Female,2996,6,30,19.86,3.04,Kogi,2024-12-03
86,31,Male,1499,8,3,5.57,84.38,Imo,2024-02-22
87,40,Male,2381,11,21,17.61,46.03,Kano,2024-10-06
88,57,Female,2270,1,25,16.78,21.76,Abuja,2024-08-04
89,38,Female,3839,2,20,5.27,13.38,Oyo,2024-09-08
90,33,Female,2860,9,49,8.59,95.33,Kaduna,2024-07-06
91,62,Male,4778,3,22,8.78,7.27,Cross River,2024-02-10
92,35,Female,1581,6,21,19.59,19.91,Osun,2024-06-05
93,64,Male,4932,5,33,4.44,34.78,Edo,2024-01-15
94,41,Male,3040,11,38,16.18,62.02,Imo,2024-10-27
95,43,Male,4543,2,15,7.35,54.48,Kogi,2024-03-05
96,42,Female,1193,7,46,14.89,12.56,Borno,2024-12-10
97,62,Female,983,4,15,8.98,28.97,Benue,2024-11-22
98,58,Female,1510,1,46,11.99,23.88,Oyo,2024-01-09
99,46,Male,2773,4,25,16.82,21.35,Imo,2024-12-09
100,32,Female,2562,6,21,16.28,41.11,Kaduna,2024-05-08
101,62,Male,335,7,24,17.46,70.4,Delta,2024-05-15
102,18,Female,314,7,5,2.13,21.75,Osun,2024-03-03
103,42,Male,2417,7,6,14.15,36.67,Ogun,2024-05-18
104,24,Male,3497,3,49,3.66,39.09,Edo,2024-03-21
105,26,Male,4966,6,43,8.9,97.65,Imo,2024-06-11
106,41,Male,1812,8,48,11.42,95.47,Abia,2024-10-15
107,18,Female,3098,4,44,8.65,80.01,Ogun,2024-09-17
108,61,Female,2431,8,47,10.87,24.17,Enugu,2024-08-18
109,25,Male,2319,2,23,19.93,6.8,Kaduna,2024-02-10
110,41,Female,90,10,4,3.57,31.69,Cross River,2024-01-28
111,28,Male,117,9,27,13.83,26.68,Abuja,2024-05-14
112,68,Female,1037,9,18,8.52,50.59,Kogi,2024-07-19
113,34,Female,4058,8,21,3.53,77.77,Edo,2024-11-23
114,25,Female,3248,10,28,4.02,85.83,Lagos,2024-09-24
115,52,Male,4840,10,35,19.04,84.49,Benue,2024-02-02
116,52,Female,2574,1,22,17.71,35.97,Abuja,2024-02-17
117,50,Female,1135,2,40,18.23,68.72,Cross River,2024-03-02
118,22,Male,2529,6,23,19.84,31.28,Enugu,2024-08-03
119,59,Male,1743,10,3,4.96,6.09,Anambra,2024-10-19
120,56,Female,2365,5,40,7.75,70.16,Ogun,2024-04-08
121,58,Female,828,9,10,13.72,0.98,Enugu,2024-06-20
122,45,Female,4639,5,25,10.19,40.92,Kano,2024-12-25
123,24,Female,1635,2,49,8.95,32.94,Oyo,2024-08-01
124,26,Female,1542,10,8,7.8,69.34,Imo,2024-02-04
125,25,Male,710,4,11,12.28,76.62,Abuja,2024-08-14
126,29,Male,1398,9,5,11.94,30.41,Anambra,2024-04-10
127,51,Male,1349,1,45,4.07,81.16,Benue,2024-05-10
128,50,Female,3990,11,37,9.96,29.39,Benue,2024-09-13
129,65,Male,2036,1,45,11.52,44.63,Anambra,2024-01-05
130,40,Female,2094,7,38,11.84,72.7,Borno,2024-08-05
131,41,Female,3566,11,29,4.99,69.29,Kano,2024-09-11
132,54,Female,1108,3,5,15.1,98.74,Imo,2024-12-24
133,52,Male,1026,10,9,1.48,22.52,Cross River,2024-10-09
134,61,Female,4627,2,48,7.74,66.23,Ekiti,2024-07-25
135,57,Male,777,9,2,15.82,60.97,Benue,2024-01-15
136,39,Female,2577,3,1,11.71,91.51,Anambra,2024-12-11
137,44,Male,3186,2,40,5.96,15.64,Rivers,2024-02-11
138,52,Male,392,8,30,14.2,75.18,Borno,2024-06-27
139,18,Female,1497,10,11,11.78,56.83,Kogi,2024-03-03
140,52,Male,2429,6,28,16.13,27.47,Oyo,2024-12-17
141,54,Male,3709,6,44,14.97,47.44,Oyo,2024-08-18
142,64,Female,576,10,12,12.59,33.38,Delta,2024-08-28
143,31,Female,1946,11,39,10.28,57.93,Ondo,2024-02-21
144,20,Female,4804,7,26,3.53,88.9,Abuja,2024-04-05
145,18,Female,2123,7,13,5.97,56.93,Rivers,2024-08-09
146,22,Female,4965,11,8,8.96,63.17,Kaduna,2024-08-18
147,43,Male,455,6,28,12.39,51.87,Anambra,2024-08-24
148,31,Male,1623,4,30,10.76,5.12,Edo,2024-05-22
149,56,Male,4650,11,9,6.48,23.29,Edo,2024-06-19
150,44,Female,3790,9,39,1.12,49.2,Benue,2024-01-29
151,26,Female,4324,6,31,10.43,31.02,Edo,2024-02-05
152,32,Male,4277,4,21,6.43,18.18,Abia,2024-01-13
153,32,Male,1896,3,47,14.96,50.41,Kano,2024-06-08
154,43,Female,1528,4,34,1.45,32.28,Cross River,2024-11-22
155,59,Male,2445,3,31,12.11,25.81,Abia,2024-07-05
156,30,Female,821,2,25,18.89,46.4,Abia,2024-08-30
157,68,Female,628,5,12,4.31,13.33,Ondo,2024-03-26
158,49,Female,2951,2,1,9.96,92.77,Oyo,2024-10-10
159,56,Male,243,6,22,2.74,86.77,Osun,2024-03-06
160,66,Female,2057,3,40,12.89,70.76,Edo,2024-06-18
161,69,Female,1235,6,37,11.46,10.62,Osun,2024-02-14
162,49,Female,2444,11,47,8.74,77.59,Cross River,2024-03-02
163,21,Female,3048,10,1,10.91,80.8,Imo,2024-05-13
164,47,Female,1842,9,1,18.03,76.78,Osun,2024-10-10
165,54,Female,1160,1,42,4.73,11.4,Kogi,2024-01-28
166,40,Male,4055,6,42,1.43,64.39,Enugu,2024-04-17
167,56,Female,2311,9,21,17.37,83.43,Anambra,2024-02-13
168,62,Female,3786,11,15,11.97,57.74,Anambra,2024-12-05
169,32,Male,3843,4,17,17.92,64.64,Benue,2024-10-12
170,60,Female,1986,11,22,12.34,45.84,Ekiti,2024-11-26
171,46,Female,4925,2,38,16.39,52.87,Borno,2024-05-07
172,53,Female,4407,4,35,9.16,3.44,Enugu,2024-12-13
173,30,Male,779,1,45,15.25,63.9,Ogun,2024-08-18
174,49,Male,4428,3,16,18.35,8.14,Lagos,2024-07-08
175,24,Female,3501,10,8,11.87,43.5,Anambra,2024-08-12
176,68,Female,4507,9,47,4.43,29.27,Rivers,2024-10-09
177,39,Male,4586,10,17,6.11,54.54,Kaduna,2024-04-30
178,45,Female,2190,5,17,4.77,13.34,Imo,2024-04-25
179,19,Female,1694,11,26,5.69,69.16,Enugu,2024-08-20
180,59,Female,2850,6,13,6.82,79.5,Borno,2024-09-15
181,62,Female,191,3,17,11.55,16.34,Anambra,2024-12-24
182,23,Male,1505,5,38,12.17,10.43,Enugu,2024-07-16
183,45,Male,4846,11,17,9.1,14.55,Lagos,2024-05-16
184,45,Male,2146,8,48,12.69,87.71,Enugu,2024-11-13
185,61,Female,1375,6,14,2.55,52.82,Kogi,2024-06-13
186,61,Male,1263,4,45,2.67,46.73,Delta,2024-08-12
187,37,Male,1209,2,6,4.26,10.67,Benue,2024-11-02
188,47,Male,4700,9,35,10.84,64.96,Kano,2024-08-21
189,28,Female,4549,1,46,5.07,86.8,Rivers,2024-06-20
190,45,Female,4747,1,14,6.38,82.82,Rivers,2024-05-31
191,42,Male,390,4,47,8.61,62.61,Ekiti,2024-11-10
192,56,Male,3878,7,8,16.43,7.53,Abia,2024-06-08
193,50,Female,2018,1,15,1.26,11.24,Borno,2024-04-05
194,18,Male,753,9,27,13.34,4.93,Kaduna,2024-08-20
195,44,Male,4463,4,13,13.71,25.75,Enugu,2024-06-28
196,69,Male,2479,3,49,16.17,13.57,Osun,2024-04-22
197,30,Male,1850,1,31,18.72,26.0,Lagos,2024-11-13
198,58,Male,4962,10,35,1.38,38.51,Benue,2024-02-21
199,20,Male,4698,4,6,3.92,94.3,Abuja,2024-09-24
200,56,Male,905,9,5,17.84,61.04,Enugu,2024-10-21
201,23,Female,1862,10,22,9.71,83.5,Kogi,2024-04-22
202,25,Male,2916,6,49,11.73,71.04,Ekiti,2024-04-10
203,44,Female,3692,6,23,13.6,11.25,Abuja,2024-04-22
204,26,Female,232,1,25,13.9,73.59,Enugu,2024-03-21
205,54,Male,3162,10,34,18.7,27.51,Ondo,2024-07-05
206,50,Female,4542,2,26,19.94,63.91,Kogi,2024-04-22
207,68,Male,1567,11,47,14.68,34.1,Abuja,2024-01-02
208,59,Female,1406,6,5,6.46,99.77,Enugu,2024-05-09
209,61,Male,2224,2,26,17.72,26.36,Rivers,2024-08-07
210,41,Male,3679,3,20,1.94,27.91,Kogi,2024-02-23
211,32,Male,3678,4,6,5.39,93.07,Abuja,2024-12-08
212,49,Female,4146,11,6,18.05,2.46,Osun,2024-08-11
213,49,Female,3289,5,18,5.87,69.67,Enugu,2024-08-12
214,41,Female,3741,9,4,5.19,72.53,Ekiti,2024-05-05
215,58,Male,68,4,17,3.62,83.64,Kaduna,2024-05-09
216,69,Female,3453,11,14,17.32,97.44,Anambra,2024-02-22
217,66,Male,4729,9,14,10.5,97.56,Benue,2024-06-20
218,66,Female,4601,11,13,13.82,6.53,Abia,2024-08-05
219,69,Male,3054,10,7,5.54,82.18,Enugu,2024-06-08
220,29,Male,1182,3,44,15.4,64.63,Oyo,2024-07-16
221,56,Male,3389,8,15,15.44,64.73,Edo,2024-09-03
222,19,Male,3361,1,19,6.94,12.83,Ekiti,2024-11-19
223,20,Female,3422,11,43,8.8,65.02,Kaduna,2024-07-21
224,66,Male,1037,9,47,4.98,98.25,Abuja,2024-07-02
225,54,Female,3371,9,44,19.55,91.18,Delta,2024-05-02
226,66,Male,4665,10,35,13.27,43.91,Kogi,2024-09-11
227,34,Female,223,2,17,18.76,3.99,Oyo,2024-10-20
228,66,Male,3791,4,35,6.76,36.23,Enugu,2024-10-06
229,19,Male,3102,8,19,15.86,82.64,Enugu,2024-11-20
230,19,Female,776,7,20,15.55,70.15,Abia,2024-04-07
231,45,Male,3810,1,36,14.14,45.93,Oyo,2024-07-16
232,40,Male,1925,5,35,19.35,5.51,Kogi,2024-08-27
233,54,Female,4083,7,32,8.48,42.69,Kogi,2024-05-23
234,49,Female,1039,4,48,3.48,46.9,Enugu,2024-04-06
235,50,Male,3794,1,44,13.76,92.86,Abuja,2024-07-19
236,18,Male,2736,9,40,14.86,64.11,Abia,2024-05-03
237,36,Female,469,5,24,11.93,31.17,Rivers,2024-07-05
238,19,Male,643,11,17,4.93,52.53,Oyo,2024-11-21
239,61,Male,1824,2,7,10.58,6.61,Anambra,2024-12-14
240,43,Male,2509,8,43,6.93,97.26,Kaduna,2024-09-15
241,49,Female,985,11,1,9.12,36.01,Enugu,2024-05-27
242,23,Female,3858,2,35,13.26,47.79,Delta,2024-09-08
243,49,Male,381,3,32,15.16,35.53,Lagos,2024-12-11
244,21,Male,3499,10,36,5.41,68.25,Lagos,2024-05-26
245,28,Male,2752,1,13,8.7,66.22,Abia,2024-05-27
246,34,Female,4056,11,6,6.11,71.53,Oyo,2024-12-17
247,55,Male,3918,2,14,4.77,26.81,Cross River,2024-07-17
248,41,Male,4250,7,37,15.88,31.57,Borno,2024-11-03
249,22,Female,251,10,48,18.28,12.53,Kogi,2024-05-07
250,69,Male,2547,2,15,8.03,65.55,Lagos,2024-02-08
251,51,Female,1892,6,47,15.27,3.98,Lagos,2024-12-03
252,23,Male,1916,3,4,18.04,59.77,Ekiti,2024-12-25
253,39,Male,2046,4,40,17.08,86.97,Kaduna,2024-05-08
254,28,Male,959,11,16,4.47,89.08,Imo,2024-09-23
255,65,Female,4355,8,28,19.17,44.9,Lagos,2024-05-30
256,33,Female,4708,3,16,8.16,45.93,Imo,2024-10-24
257,50,Female,3239,10,4,7.45,7.7,Kano,2024-04-08
258,26,Male,820,6,45,2.19,67.08,Cross River,2024-09-19
259,23,Female,3205,1,26,10.24,82.13,Delta,2024-09-08
260,33,Male,2551,7,28,3.07,24.47,Ogun,2024-05-23
261,46,Male,2764,8,32,5.72,42.13,Anambra,2024-12-11
262,20,Female,4774,11,45,7.02,83.88,Ogun,2024-04-21
263,37,Male,3635,8,2,16.37,87.71,Rivers,2024-02-29
264,53,Male,1678,3,31,17.63,24.32,Kaduna,2024-01-02
265,36,Male,436,10,3,6.75,55.06,Anambra,2024-10-30
266,43,Male,3471,1,8,17.32,19.25,Abuja,2024-09-10
267,20,Male,4058,9,24,17.29,10.19,Kaduna,2024-05-19
268,36,Female,4143,6,15,15.53,91.11,Rivers,2024-02-06
269,37,Male,4413,11,43,3.79,82.05,Rivers,2024-06-08
270,49,Female,2516,9,31,14.12,76.0,Oyo,2024-01-09
271,24,Female,2332,7,9,18.96,4.88,Imo,2024-08-20
272,69,Male,1906,1,39,13.97,84.37,Ekiti,2024-04-08
273,58,Male,2048,1,45,7.3,43.8,Kaduna,2024-05-26
274,50,Male,1286,6,2,10.51,34.24,Enugu,2024-10-30
275,57,Female,4719,5,8,13.27,54.65,Imo,2024-07-26
276,56,Male,4194,9,7,10.7,9.14,Lagos,2024-05-10
277,35,Female,1200,2,44,3.28,75.66,Ogun,2024-05-31
278,57,Male,4368,8,39,6.93,58.24,Rivers,2024-02-23
279,18,Female,1481,11,42,16.25,18.66,Anambra,2024-04-29
280,28,Male,1869,5,16,17.37,18.82,Ogun,2024-06-09
281,45,Male,2374,2,35,3.61,18.42,Osun,2024-04-25
282,42,Female,1180,10,30,19.1,5.7,Ogun,2024-03-15
283,67,Female,2708,11,10,7.25,58.78,Osun,2024-04-22
284,40,Male,3550,11,38,13.58,84.03,Imo,2024-04-13
285,48,Female,424,6,18,15.28,1.75,Edo,2024-12-05
286,47,Male,2170,10,5,16.43,4.9,Kano,2024-09-10
287,59,Female,4070,8,29,18.97,57.28,Abia,2024-08-14
288,52,Female,2071,4,39,6.95,81.95,Lagos,2024-04-21
289,24,Male,3755,2,34,17.31,32.67,Abuja,2024-04-08
290,33,Male,3309,11,43,3.5,34.96,Ondo,2024-06-01
291,43,Male,3485,5,45,14.4,59.63,Borno,2024-12-14
292,65,Female,1939,2,23,15.1,27.42,Cross River,2024-12-31
293,69,Female,1873,2,5,13.88,2.66,Ogun,2024-12-03
294,66,Male,1524,6,30,5.79,73.52,Anambra,2024-07-12
295,19,Male,2292,11,6,17.59,62.56,Ekiti,2024-11-05
296,18,Female,3293,10,46,4.21,58.08,Lagos,2024-06-11
297,65,Female,3184,9,44,2.02,74.17,Kaduna,2024-07-26
298,29,Female,2120,4,4,14.63,67.52,Ekiti,2024-06-17
299,22,Male,409,6,29,10.03,20.59,Ogun,2024-06-09
300,54,Male,2091,7,23,17.13,35.25,Kano,2024-03-08
301,49,Male,1191,11,6,8.28,12.61,Ondo,2024-10-15
302,26,Female,1685,6,32,4.2,12.99,Abia,2024-10-03
303,58,Male,4050,8,42,16.89,67.62,Anambra,2024-10-30
304,52,Female,1993,4,18,11.43,85.86,Kano,2024-05-14
305,36,Male,4824,1,15,4.59,96.27,Osun,2024-07-13
306,65,Female,3411,7,40,14.69,62.83,Ogun,2024-05-07
307,33,Female,3030,3,32,10.71,18.41,Benue,2024-02-02
308,20,Female,56,6,9,12.48,10.57,Benue,2024-06-24
309,37,Male,3317,2,37,9.76,81.29,Kogi,2024-01-22
310,41,Male,1641,9,10,16.75,57.88,Anambra,2024-08-25
311,50,Male,4978,1,20,16.76,61.83,Edo,2024-06-06
312,41,Female,3314,6,6,14.48,78.15,Anambra,2024-02-07
313,69,Female,2656,6,48,3.0,70.33,Imo,2024-08-17
314,28,Female,3269,5,3,16.94,83.45,Kogi,2024-12-30
315,66,Female,3323,5,42,13.75,5.62,Abuja,2024-02-20
316,25,Female,963,1,11,14.24,74.75,Borno,2024-09-20
317,53,Male,2061,10,43,7.9,85.09,Borno,2024-10-09
318,55,Female,1492,5,17,17.71,28.61,Kogi,2024-01-27
319,57,Male,3104,2,32,14.78,64.04,Oyo,2024-08-13
320,37,Male,3596,7,4,3.14,31.42,Rivers,2024-10-03
321,52,Female,4271,3,4,8.75,95.8,Benue,2024-10-12
322,65,Male,4962,4,17,17.84,3.34,Kogi,2024-04-06
323,42,Male,2978,3,41,1.9,57.98,Ekiti,2024-10-10
324,52,Female,1879,3,19,19.27,16.65,Kaduna,2024-11-12
325,42,Male,625,4,5,13.9,71.22,Oyo,2024-10-30
326,46,Female,979,5,32,13.0,17.59,Lagos,2024-05-26
327,35,Male,3809,1,22,6.14,23.54,Oyo,2024-01-04
328,63,Male,3749,4,6,5.73,49.44,Cross River,2024-02-04
329,35,Male,1513,11,35,18.9,91.48,Delta,2024-07-10
330,19,Male,3325,8,22,6.67,21.17,Ondo,2024-02-18
331,52,Female,4978,10,1,15.73,14.42,Edo,2024-01-17
332,33,Male,1104,7,20,8.47,75.9,Abia,2024-06-20
333,58,Female,1950,9,22,3.65,50.06,Osun,2024-08-07
334,53,Male,1507,5,48,1.2,91.18,Oyo,2024-06-06
335,50,Female,1449,10,11,11.34,14.66,Oyo,2024-02-15
336,21,Female,3465,4,13,19.54,64.59,Kano,2024-01-06
337,50,Female,492,8,42,8.01,23.29,Borno,2024-04-08
338,31,Male,3700,9,3,7.79,15.68,Lagos,2024-08-20
339,38,Male,4702,7,9,7.54,68.34,Ogun,2024-02-06
340,65,Male,1228,7,12,10.89,59.37,Rivers,2024-10-06
341,37,Female,4508,5,23,9.37,75.48,Benue,2024-12-14
342,25,Male,1307,4,14,17.72,30.95,Oyo,2024-10-28
343,24,Male,3684,10,33,10.6,44.8,Kogi,2024-06-29
344,20,Female,1891,1,18,10.65,40.55,Benue,2024-04-04
345,34,Male,2359,10,49,3.63,98.41,Borno,2024-04-08
346,50,Female,960,10,41,19.67,29.22,Cross River,2024-07-06
347,65,Male,4390,7,9,5.75,29.48,Enugu,2024-04-25
348,29,Male,4687,1,23,2.39,35.45,Enugu,2024-07-09
349,68,Female,4059,1,10,13.6,56.46,Kogi,2024-09-09
350,39,Male,2219,5,19,12.31,25.23,Rivers,2024-06-09
351,39,Female,2222,9,47,8.89,91.53,Imo,2024-09-12
352,63,Male,173,6,5,9.02,26.57,Lagos,2024-11-18
353,47,Male,3208,3,47,15.92,89.58,Ekiti,2024-05-07
354,55,Female,835,3,23,4.72,10.35,Cross River,2024-01-18
355,55,Female,2466,7,30,16.58,65.66,Delta,2024-10-07
356,62,Female,846,6,25,13.33,90.7,Delta,2024-08-10
357,68,Male,4222,9,28,8.96,16.87,Delta,2024-02-23
358,25,Female,4204,6,34,9.7,96.83,Borno,2024-02-27
359,44,Male,1986,5,45,5.88,45.29,Abuja,2024-11-18
360,44,Male,2206,10,48,15.29,94.57,Oyo,2024-12-25
361,51,Female,3857,7,47,10.74,67.68,Ondo,2024-06-22
362,38,Male,1351,1,25,7.1,30.16,Kano,2024-10-06
363,47,Female,4213,7,10,12.32,18.83,Kogi,2024-04-23
364,50,Male,3190,3,14,19.92,30.37,Oyo,2024-10-14
365,45,Male,3286,9,42,9.27,9.3,Kano,2024-12-07
366,64,Female,2402,6,46,18.49,14.39,Kogi,2024-05-30
367,50,Female,1982,9,30,7.56,10.47,Ondo,2024-05-06
368,22,Female,2771,5,41,2.04,42.29,Ekiti,2024-06-03
369,65,Female,414,7,25,4.88,79.56,Imo,2024-09-29
370,36,Female,4966,4,14,8.96,14.14,Borno,2024-04-13
371,21,Female,2440,7,35,5.17,13.03,Oyo,2024-10-25
372,52,Female,996,1,48,1.0,64.34,Ondo,2024-09-02
373,66,Male,1427,7,34,18.39,19.72,Cross River,2024-06-24
374,34,Male,1489,8,10,17.03,9.76,Cross River,2024-02-08
375,61,Male,3230,5,35,15.1,16.68,Enugu,2024-06-18
376,45,Female,4907,2,11,4.19,92.37,Ondo,2024-09-03
377,47,Female,390,5,11,3.29,82.15,Cross River,2024-01-26
378,46,Male,3039,6,21,2.28,35.41,Cross River,2024-12-20
379,63,Female,432,2,21,14.76,65.58,Imo,2024-11-01
380,23,Female,1606,6,22,18.65,53.73,Delta,2024-01-13
381,52,Male,349,6,45,9.18,67.71,Abuja,2024-11-11
382,58,Female,188,1,7,3.26,68.27,Edo,2024-11-08
383,54,Female,408,1,17,10.74,62.87,Imo,2024-02-05
384,41,Male,4981,11,2,7.63,26.61,Abuja,2024-06-21
385,46,Female,1572,10,12,8.12,3.9,Kogi,2024-01-20
386,66,Male,3506,3,42,12.81,45.56,Enugu,2024-11-16
387,63,Female,1677,10,18,14.66,89.1,Oyo,2024-09-20
388,48,Female,1353,10,11,3.1,56.95,Borno,2024-05-21
389,52,Female,1184,3,16,1.68,83.24,Kaduna,2024-05-22
390,50,Male,2236,4,49,19.89,99.16,Kogi,2024-04-01
391,69,Female,3220,2,18,5.42,16.36,Lagos,2024-12-19
392,38,Female,3885,9,35,2.02,69.18,Abuja,2024-11-17
393,49,Male,2201,10,26,4.61,67.43,Lagos,2024-10-14
394,40,Female,1287,11,16,1.74,98.0,Abia,2024-08-02
395,50,Male,3785,7,6,8.44,98.56,Abuja,2024-12-07
396,20,Female,2884,7,44,16.25,68.67,Imo,2024-02-20
397,35,Male,4310,6,43,7.48,24.36,Rivers,2024-06-01
398,42,Male,1048,3,47,9.44,79.86,Benue,2024-07-04
399,59,Male,2617,6,47,13.84,10.7,Imo,2024-03-03
400,48,Female,1357,8,48,10.67,78.07,Cross River,2024-07-08
401,20,Male,706,8,42,17.37,91.02,Lagos,2024-05-04
402,57,Female,2710,11,12,17.45,38.28,Lagos,2024-05-29
403,63,Male,2261,9,13,1.19,63.06,Ogun,2024-11-09
404,41,Male,1959,1,4,15.78,43.01,Rivers,2024-02-27
405,67,Female,3780,1,39,9.75,43.78,Kaduna,2024-12-07
406,49,Female,2096,3,2,19.79,31.04,Kogi,2024-10-31
407,64,Male,3212,3,26,10.18,76.21,Ekiti,2024-06-28
408,39,Female,1190,10,27,19.75,93.62,Osun,2024-06-18
409,40,Female,316,8,27,15.34,94.08,Ekiti,2024-11-21
410,19,Female,1895,10,15,5.72,17.48,Abuja,2024-09-27
411,44,Male,1758,1,8,11.23,87.47,Osun,2024-02-23
412,59,Male,3680,2,7,19.85,73.74,Oyo,2024-04-10
413,19,Female,3261,2,47,17.29,25.28,Ogun,2024-09-20
